wavelength transmission
9420.0 0.00594
9430.0 0.00741
9440.0 0.00945
9450.0 0.01235
9460.0 0.01657
9470.0 0.02366
9480.0 0.03442
9490.0 0.05052
9500.0 0.07376
9510.0 0.10323
9520.0 0.13909
9530.0 0.17906
9540.0 0.21911
9550.0 0.26191
9560.0 0.29928
9570.0 0.32907
9580.0 0.35114
9590.0 0.36874
9600.0 0.38202
9610.0 0.39182
9620.0 0.4004
9630.0 0.40939
9640.0 0.41811
9650.0 0.4267
9660.0 0.43499
9670.0 0.44307
9680.0 0.45065
9690.0 0.4579
9700.0 0.46466
9710.0 0.45609
9720.0 0.44734
9730.0 0.43879
9740.0 0.4301
9750.0 0.43031
9760.0 0.43056
9770.0 0.43092
9780.0 0.43136
9790.0 0.43193
9800.0 0.4326
9810.0 0.43142
9820.0 0.43031
9830.0 0.42928
9840.0 0.42814
9850.0 0.42684
9860.0 0.42541
9870.0 0.42027
9880.0 0.41486
9890.0 0.4094
9900.0 0.40381
9910.0 0.39812
9920.0 0.39227
9930.0 0.38653
9940.0 0.38067
9950.0 0.3749
9960.0 0.36918
9970.0 0.36353
9980.0 0.35787
9990.0 0.35221
10000.0 0.34657
10010.0 0.33966
10020.0 0.33278
10030.0 0.32588
10040.0 0.31897
10050.0 0.31196
10060.0 0.30492
10070.0 0.29791
10080.0 0.29089
10090.0 0.28394
10100.0 0.27701
10110.0 0.27011
10120.0 0.26322
10130.0 0.25651
10140.0 0.24975
10150.0 0.24306
10160.0 0.23633
10170.0 0.22968
10180.0 0.22291
10190.0 0.2162
10200.0 0.20945
10210.0 0.20328
10220.0 0.19719
10230.0 0.19108
10240.0 0.18498
10250.0 0.17889
10260.0 0.1728
10270.0 0.16672
10280.0 0.16067
10290.0 0.15464
10300.0 0.14866
10310.0 0.14267
10320.0 0.13667
10330.0 0.13072
10340.0 0.12475
10350.0 0.11883
10360.0 0.11291
10370.0 0.10702
10380.0 0.1011
10390.0 0.09523
10400.0 0.08937
10410.0 0.08694
10420.0 0.0845
10430.0 0.08204
10440.0 0.07953
10450.0 0.077
10460.0 0.07444
10470.0 0.07184
10480.0 0.06922
10490.0 0.0666
10500.0 0.064
10510.0 0.06142
10520.0 0.05888
10530.0 0.05642
10540.0 0.05399
10550.0 0.0516
10560.0 0.0492
10570.0 0.04673
10580.0 0.04411
10590.0 0.04129
10600.0 0.03818
10610.0 0.03561
10620.0 0.03261
10630.0 0.02918
10640.0 0.02539
10650.0 0.02142
10660.0 0.01748
10670.0 0.01377
10680.0 0.01049
10690.0 0.00777
10700.0 0.00562
