wavelength transmission
6970.0 0.00388
6980.0 0.00516
6990.0 0.00707
7000.0 0.01009
7010.0 0.01486
7020.0 0.02212
7030.0 0.03285
7040.0 0.04823
7050.0 0.06946
7060.0 0.09762
7070.0 0.13334
7080.0 0.17646
7090.0 0.22581
7100.0 0.27899
7110.0 0.33285
7120.0 0.38421
7130.0 0.4303
7140.0 0.46931
7150.0 0.48835
7160.0 0.49858
7170.0 0.50122
7180.0 0.498
7190.0 0.50939
7200.0 0.51802
7210.0 0.52483
7220.0 0.53132
7230.0 0.53323
7240.0 0.53585
7250.0 0.53937
7260.0 0.54369
7270.0 0.54817
7280.0 0.55234
7290.0 0.55545
7300.0 0.55729
7310.0 0.56369
7320.0 0.56912
7330.0 0.57379
7340.0 0.5783
7350.0 0.5769
7360.0 0.57635
7370.0 0.57658
7380.0 0.57775
7390.0 0.57957
7400.0 0.58178
7410.0 0.58428
7420.0 0.58649
7430.0 0.58843
7440.0 0.5898
7450.0 0.59058
7460.0 0.59087
7470.0 0.59091
7480.0 0.59112
7490.0 0.59119
7500.0 0.59168
7510.0 0.59233
7520.0 0.59337
7530.0 0.59429
7540.0 0.59498
7550.0 0.59522
7560.0 0.59488
7570.0 0.59417
7580.0 0.57436
7590.0 0.51124
7600.0 0.32682
7610.0 0.25634
7620.0 0.37109
7630.0 0.33526
7640.0 0.35054
7650.0 0.41048
7660.0 0.47714
7670.0 0.52514
7680.0 0.59208
7690.0 0.59308
7700.0 0.5943
7710.0 0.59514
7720.0 0.59652
7730.0 0.59819
7740.0 0.60024
7750.0 0.60253
7760.0 0.60467
7770.0 0.60646
7780.0 0.60747
7790.0 0.60796
7800.0 0.60797
7810.0 0.60748
7820.0 0.60698
7830.0 0.60666
7840.0 0.60656
7850.0 0.60697
7860.0 0.60775
7870.0 0.60901
7880.0 0.61001
7890.0 0.61037
7900.0 0.60979
7910.0 0.60815
7920.0 0.60545
7930.0 0.60172
7940.0 0.59747
7950.0 0.59308
7960.0 0.5891
7970.0 0.58623
7980.0 0.58469
7990.0 0.58503
8000.0 0.58705
8010.0 0.59032
8020.0 0.59466
8030.0 0.59896
8040.0 0.60263
8050.0 0.60525
8060.0 0.60609
8070.0 0.60514
8080.0 0.60293
8090.0 0.59986
8100.0 0.59665
8110.0 0.58564
8120.0 0.57583
8130.0 0.56738
8140.0 0.56025
8150.0 0.56228
8160.0 0.56511
8170.0 0.56763
8180.0 0.56922
8190.0 0.56963
8200.0 0.56857
8210.0 0.56584
8220.0 0.56189
8230.0 0.55748
8240.0 0.5535
8250.0 0.5506
8260.0 0.54926
8270.0 0.54988
8280.0 0.55236
8290.0 0.55624
8300.0 0.56042
8310.0 0.57225
8320.0 0.58337
8330.0 0.59294
8340.0 0.60067
8350.0 0.6064
8360.0 0.60345
8370.0 0.59966
8380.0 0.59536
8390.0 0.5917
8400.0 0.58891
8410.0 0.5872
8420.0 0.58637
8430.0 0.58648
8440.0 0.58722
8450.0 0.58862
8460.0 0.59073
8470.0 0.59349
8480.0 0.5968
8490.0 0.60041
8500.0 0.60232
8510.0 0.5995
8520.0 0.58778
8530.0 0.56244
8540.0 0.52038
8550.0 0.46202
8560.0 0.39105
8570.0 0.31395
8580.0 0.23878
8590.0 0.17274
8600.0 0.11959
8610.0 0.08025
8620.0 0.0533
8630.0 0.03588
8640.0 0.02469
8650.0 0.01774
8660.0 0.01352
8670.0 0.01076
8680.0 0.0089
8690.0 0.00767
