wavelength transmission
5580.0 0.0026
5590.0 0.00329
5600.0 0.00457
5610.0 0.00719
5620.0 0.01274
5630.0 0.02423
5640.0 0.04654
5650.0 0.08581
5660.0 0.14225
5670.0 0.20922
5680.0 0.27693
5690.0 0.33701
5700.0 0.38243
5710.0 0.40953
5720.0 0.42184
5730.0 0.42637
5740.0 0.42882
5750.0 0.43069
5760.0 0.43221
5770.0 0.43347
5780.0 0.43447
5790.0 0.43536
5800.0 0.43641
5810.0 0.43782
5820.0 0.43938
5830.0 0.44083
5840.0 0.44201
5850.0 0.44262
5860.0 0.44265
5870.0 0.44236
5880.0 0.44204
5890.0 0.44193
5900.0 0.44234
5910.0 0.44325
5920.0 0.44462
5930.0 0.44612
5940.0 0.44747
5950.0 0.44832
5960.0 0.44899
5970.0 0.44947
5980.0 0.45017
5990.0 0.45108
6000.0 0.4523
6010.0 0.4539
6020.0 0.45547
6030.0 0.45691
6040.0 0.4581
6050.0 0.45889
6060.0 0.45948
6070.0 0.45996
6080.0 0.4604
6090.0 0.46098
6100.0 0.46191
6110.0 0.46326
6120.0 0.4651
6130.0 0.46691
6140.0 0.4686
6150.0 0.46989
6160.0 0.47115
6170.0 0.47206
6180.0 0.47295
6190.0 0.47354
6200.0 0.47419
6210.0 0.47457
6220.0 0.47512
6230.0 0.47576
6240.0 0.47648
6250.0 0.47728
6260.0 0.4781
6270.0 0.47894
6280.0 0.47971
6290.0 0.48058
6300.0 0.48143
6310.0 0.48227
6320.0 0.48288
6330.0 0.48341
6340.0 0.48396
6350.0 0.48478
6360.0 0.48573
6370.0 0.48682
6380.0 0.48792
6390.0 0.48896
6400.0 0.48987
6410.0 0.49038
6420.0 0.49073
6430.0 0.49087
6440.0 0.49105
6450.0 0.49106
6460.0 0.4911
6470.0 0.49125
6480.0 0.49173
6490.0 0.49221
6500.0 0.49277
6510.0 0.49325
6520.0 0.49405
6530.0 0.49505
6540.0 0.49628
6550.0 0.49751
6560.0 0.49882
6570.0 0.50001
6580.0 0.50105
6590.0 0.50191
6600.0 0.50244
6610.0 0.50274
6620.0 0.50282
6630.0 0.50273
6640.0 0.50272
6650.0 0.50287
6660.0 0.50333
6670.0 0.50396
6680.0 0.5049
6690.0 0.50589
6700.0 0.50702
6710.0 0.50789
6720.0 0.50887
6730.0 0.50946
6740.0 0.50995
6750.0 0.51017
6760.0 0.5104
6770.0 0.51074
6780.0 0.51123
6790.0 0.51198
6800.0 0.51281
6810.0 0.51394
6820.0 0.5151
6830.0 0.50864
6840.0 0.50208
6850.0 0.4953
6860.0 0.4885
6870.0 0.4816
6880.0 0.47461
6890.0 0.4796
6900.0 0.48451
6910.0 0.48941
6920.0 0.49406
6930.0 0.49879
6940.0 0.50356
6950.0 0.50857
6960.0 0.5138
6970.0 0.51909
6980.0 0.52449
6990.0 0.52544
7000.0 0.52641
7010.0 0.52692
7020.0 0.52715
7030.0 0.52685
7040.0 0.52605
7050.0 0.52476
7060.0 0.52274
7070.0 0.51962
7080.0 0.51523
7090.0 0.50982
7100.0 0.50445
7110.0 0.49763
7120.0 0.48282
7130.0 0.45305
7140.0 0.40477
7150.0 0.33245
7160.0 0.25397
7170.0 0.17892
7180.0 0.11665
7190.0 0.07553
7200.0 0.0486
7210.0 0.03149
7220.0 0.02075
7230.0 0.01384
7240.0 0.00962
7250.0 0.00712
7260.0 0.00565
7270.0 0.00472
