wavelength transmission
8360.0 0.01169
8370.0 0.0123
8380.0 0.01345
8390.0 0.01503
8400.0 0.01737
8410.0 0.02097
8420.0 0.02648
8430.0 0.03486
8440.0 0.04793
8450.0 0.06808
8460.0 0.09793
8470.0 0.13972
8480.0 0.19399
8490.0 0.25826
8500.0 0.32759
8510.0 0.39566
8520.0 0.45623
8530.0 0.50528
8540.0 0.54162
8550.0 0.56605
8560.0 0.58075
8570.0 0.58833
8580.0 0.59128
8590.0 0.59177
8600.0 0.59128
8610.0 0.59111
8620.0 0.59187
8630.0 0.59402
8640.0 0.59721
8650.0 0.60108
8660.0 0.60522
8670.0 0.60888
8680.0 0.61172
8690.0 0.61371
8700.0 0.61499
8710.0 0.61552
8720.0 0.61561
8730.0 0.61541
8740.0 0.61519
8750.0 0.61513
8760.0 0.61543
8770.0 0.61619
8780.0 0.61709
8790.0 0.61854
8800.0 0.62016
8810.0 0.62167
8820.0 0.62316
8830.0 0.6246
8840.0 0.62578
8850.0 0.62664
8860.0 0.62716
8870.0 0.62731
8880.0 0.62687
8890.0 0.62616
8900.0 0.62522
8910.0 0.61293
8920.0 0.60063
8930.0 0.58828
8940.0 0.57611
8950.0 0.56433
8960.0 0.55286
8970.0 0.54174
8980.0 0.53091
8990.0 0.53529
9000.0 0.53993
9010.0 0.54456
9020.0 0.54912
9030.0 0.55368
9040.0 0.55796
9050.0 0.56199
9060.0 0.56564
9070.0 0.56531
9080.0 0.56444
9090.0 0.56351
9100.0 0.56244
9110.0 0.56129
9120.0 0.56027
9130.0 0.5594
9140.0 0.55878
9150.0 0.55849
9160.0 0.55863
9170.0 0.55892
9180.0 0.55926
9190.0 0.55964
9200.0 0.55996
9210.0 0.55944
9220.0 0.5585
9230.0 0.55737
9240.0 0.55575
9250.0 0.55373
9260.0 0.55132
9270.0 0.52604
9280.0 0.50058
9290.0 0.47537
9300.0 0.45033
9310.0 0.42563
9320.0 0.40136
9330.0 0.37761
9340.0 0.35428
9350.0 0.33127
9360.0 0.33837
9370.0 0.34556
9380.0 0.35281
9390.0 0.36012
9400.0 0.36743
9410.0 0.37426
9420.0 0.38091
9430.0 0.37254
9440.0 0.36395
9450.0 0.35541
9460.0 0.34678
9470.0 0.35107
9480.0 0.35504
9490.0 0.35913
9500.0 0.36312
9510.0 0.36027
9520.0 0.35748
9530.0 0.3549
9540.0 0.35242
9550.0 0.35932
9560.0 0.36627
9570.0 0.37311
9580.0 0.37991
9590.0 0.38855
9600.0 0.39704
9610.0 0.40442
9620.0 0.41159
9630.0 0.41946
9640.0 0.427
9650.0 0.43437
9660.0 0.44152
9670.0 0.44868
9680.0 0.45569
9690.0 0.46276
9700.0 0.46977
9710.0 0.46166
9720.0 0.45357
9730.0 0.44577
9740.0 0.43777
9750.0 0.43863
9760.0 0.43927
9770.0 0.43964
9780.0 0.43964
9790.0 0.43936
9800.0 0.43882
9810.0 0.43614
9820.0 0.43334
9830.0 0.43051
9840.0 0.42756
9850.0 0.42454
9860.0 0.42142
9870.0 0.41466
9880.0 0.40772
9890.0 0.40078
9900.0 0.39369
9910.0 0.38658
9920.0 0.37927
9930.0 0.37181
9940.0 0.36341
9950.0 0.35321
9960.0 0.33983
9970.0 0.32209
9980.0 0.2991
9990.0 0.27062
10000.0 0.23739
10010.0 0.20038
10020.0 0.16283
10030.0 0.12705
10040.0 0.09531
10050.0 0.06888
10060.0 0.04826
10070.0 0.03311
10080.0 0.02251
10090.0 0.01539
10100.0 0.01074
10110.0 0.00774
10120.0 0.00579
10130.0 0.00449
