# JWST NIRCAM preliminary Filter transmission curve
# http://www.stsci.edu/jwst/instruments/nircam/instrumentdesign/filters
# retrieved 2014.09.09 by S.Rodney
# Microns	Transmission
    1.248	1.067E-05
    1.249	1.136E-05
    1.250	1.206E-05
    1.251	1.327E-05
    1.252	1.472E-05
    1.253	1.572E-05
    1.254	1.707E-05
    1.255	1.853E-05
    1.256	2.069E-05
    1.257	2.230E-05
    1.258	2.387E-05
    1.259	2.569E-05
    1.260	2.810E-05
    1.261	3.083E-05
    1.262	3.387E-05
    1.263	3.702E-05
    1.264	4.059E-05
    1.265	4.478E-05
    1.266	4.954E-05
    1.267	5.513E-05
    1.268	6.132E-05
    1.269	6.773E-05
    1.270	7.527E-05
    1.271	8.364E-05
    1.272	9.433E-05
    1.273	1.058E-04
    1.274	1.194E-04
    1.275	1.350E-04
    1.276	1.532E-04
    1.277	1.741E-04
    1.278	1.980E-04
    1.279	2.260E-04
    1.280	2.586E-04
    1.281	2.961E-04
    1.282	3.393E-04
    1.283	3.892E-04
    1.284	4.464E-04
    1.285	5.121E-04
    1.286	5.889E-04
    1.287	6.766E-04
    1.288	7.806E-04
    1.289	9.008E-04
    1.290	1.042E-03
    1.291	1.204E-03
    1.292	1.400E-03
    1.293	1.629E-03
    1.294	1.899E-03
    1.295	2.226E-03
    1.296	2.620E-03
    1.297	3.095E-03
    1.298	3.673E-03
    1.299	4.384E-03
    1.300	5.251E-03
    1.301	6.326E-03
    1.302	7.650E-03
    1.303	9.275E-03
    1.304	1.126E-02
    1.305	1.372E-02
    1.306	1.664E-02
    1.307	1.971E-02
    1.308	2.263E-02
    1.309	2.490E-02
    1.310	2.703E-02
    1.311	2.951E-02
    1.312	3.263E-02
    1.313	3.620E-02
    1.314	4.042E-02
    1.315	4.513E-02
    1.316	5.087E-02
    1.317	5.717E-02
    1.318	6.520E-02
    1.319	7.416E-02
    1.320	8.598E-02
    1.321	1.004E-01
    1.322	1.187E-01
    1.323	1.393E-01
    1.324	1.644E-01
    1.325	1.925E-01
    1.326	2.255E-01
    1.327	2.618E-01
    1.328	3.039E-01
    1.329	3.510E-01
    1.330	4.044E-01
    1.331	4.618E-01
    1.332	5.225E-01
    1.333	5.839E-01
    1.334	6.432E-01
    1.335	6.999E-01
    1.336	7.500E-01
    1.337	7.947E-01
    1.338	8.304E-01
    1.339	8.598E-01
    1.340	8.820E-01
    1.341	8.981E-01
    1.342	9.087E-01
    1.343	9.171E-01
    1.344	9.221E-01
    1.345	9.249E-01
    1.346	9.275E-01
    1.347	9.302E-01
    1.348	9.338E-01
    1.349	9.352E-01
    1.350	9.378E-01
    1.351	9.404E-01
    1.352	9.426E-01
    1.353	9.446E-01
    1.354	9.450E-01
    1.355	9.453E-01
    1.356	9.449E-01
    1.357	9.443E-01
    1.358	9.437E-01
    1.359	9.432E-01
    1.360	9.427E-01
    1.361	9.424E-01
    1.362	9.403E-01
    1.363	9.405E-01
    1.364	9.398E-01
    1.365	9.402E-01
    1.366	9.382E-01
    1.367	9.364E-01
    1.368	9.368E-01
    1.369	9.366E-01
    1.370	9.380E-01
    1.371	9.382E-01
    1.372	9.380E-01
    1.373	9.370E-01
    1.374	9.352E-01
    1.375	9.347E-01
    1.376	9.343E-01
    1.377	9.342E-01
    1.378	9.337E-01
    1.379	9.325E-01
    1.380	9.311E-01
    1.381	9.302E-01
    1.382	9.303E-01
    1.383	9.300E-01
    1.384	9.303E-01
    1.385	9.294E-01
    1.386	9.294E-01
    1.387	9.286E-01
    1.388	9.287E-01
    1.389	9.278E-01
    1.390	9.277E-01
    1.391	9.275E-01
    1.392	9.283E-01
    1.393	9.291E-01
    1.394	9.296E-01
    1.395	9.306E-01
    1.396	9.312E-01
    1.397	9.323E-01
    1.398	9.321E-01
    1.399	9.330E-01
    1.400	9.342E-01
    1.401	9.361E-01
    1.402	9.378E-01
    1.403	9.390E-01
    1.404	9.396E-01
    1.405	9.405E-01
    1.406	9.420E-01
    1.407	9.429E-01
    1.408	9.447E-01
    1.409	9.458E-01
    1.410	9.466E-01
    1.411	9.462E-01
    1.412	9.469E-01
    1.413	9.487E-01
    1.414	9.495E-01
    1.415	9.500E-01
    1.416	9.513E-01
    1.417	9.529E-01
    1.418	9.544E-01
    1.419	9.549E-01
    1.420	9.550E-01
    1.421	9.564E-01
    1.422	9.562E-01
    1.423	9.576E-01
    1.424	9.571E-01
    1.425	9.569E-01
    1.426	9.576E-01
    1.427	9.577E-01
    1.428	9.594E-01
    1.429	9.603E-01
    1.430	9.607E-01
    1.431	9.614E-01
    1.432	9.599E-01
    1.433	9.608E-01
    1.434	9.613E-01
    1.435	9.610E-01
    1.436	9.603E-01
    1.437	9.608E-01
    1.438	9.620E-01
    1.439	9.630E-01
    1.440	9.629E-01
    1.441	9.627E-01
    1.442	9.621E-01
    1.443	9.629E-01
    1.444	9.644E-01
    1.445	9.646E-01
    1.446	9.639E-01
    1.447	9.633E-01
    1.448	9.641E-01
    1.449	9.630E-01
    1.450	9.628E-01
    1.451	9.624E-01
    1.452	9.625E-01
    1.453	9.612E-01
    1.454	9.592E-01
    1.455	9.587E-01
    1.456	9.582E-01
    1.457	9.581E-01
    1.458	9.577E-01
    1.459	9.569E-01
    1.460	9.556E-01
    1.461	9.527E-01
    1.462	9.496E-01
    1.463	9.467E-01
    1.464	9.453E-01
    1.465	9.450E-01
    1.466	9.437E-01
    1.467	9.425E-01
    1.468	9.409E-01
    1.469	9.400E-01
    1.470	9.374E-01
    1.471	9.357E-01
    1.472	9.350E-01
    1.473	9.347E-01
    1.474	9.343E-01
    1.475	9.329E-01
    1.476	9.317E-01
    1.477	9.318E-01
    1.478	9.325E-01
    1.479	9.341E-01
