# JWST NIRCAM preliminary Filter transmission curve
# http://www.stsci.edu/jwst/instruments/nircam/instrumentdesign/filters
# retrieved 2014.09.09 by S.Rodney
# Microns	Transmission
4.110	        0.000
4.112	        4.471e-03
4.113	        5.023e-03
4.114	        5.654e-03
4.116	        6.376e-03
4.117	        7.205e-03
4.119	        8.158e-03
4.120	        9.254e-03
4.121	        1.052e-02
4.123	        1.197e-02
4.124	        1.366e-02
4.125	        1.560e-02
4.127	        1.786e-02
4.128	        2.047e-02
4.129	        2.349e-02
4.131	        2.700e-02
4.132	        3.107e-02
4.133	        3.578e-02
4.135	        4.123e-02
4.136	        4.753e-02
4.137	        5.481e-02
4.139	        6.318e-02
4.140	        7.278e-02
4.142	        8.375e-02
4.143	        9.623e-02
4.144	        1.104e-01
4.146	        1.263e-01
4.147	        1.441e-01
4.148	        1.638e-01
4.150	        1.856e-01
4.151	        2.094e-01
4.152	        2.353e-01
4.154	        2.632e-01
4.155	        2.930e-01
4.156	        3.244e-01
4.158	        3.574e-01
4.159	        3.917e-01
4.160	        4.269e-01
4.162	        4.627e-01
4.163	        4.986e-01
4.164	        5.344e-01
4.166	        5.696e-01
4.167	        6.038e-01
4.169	        6.365e-01
4.170	        6.675e-01
4.171	        6.964e-01
4.173	        7.230e-01
4.174	        7.472e-01
4.175	        7.689e-01
4.177	        7.881e-01
4.178	        8.047e-01
4.179	        8.189e-01
4.181	        8.310e-01
4.182	        8.410e-01
4.183	        8.493e-01
4.185	        8.560e-01
4.186	        8.614e-01
4.187	        8.657e-01
4.189	        8.691e-01
4.190	        8.719e-01
4.192	        8.740e-01
4.193	        8.757e-01
4.194	        8.771e-01
4.196	        8.783e-01
4.197	        8.793e-01
4.198	        8.802e-01
4.200	        8.811e-01
4.201	        8.819e-01
4.202	        8.827e-01
4.204	        8.835e-01
4.205	        8.842e-01
4.206	        8.850e-01
4.208	        8.857e-01
4.209	        8.864e-01
4.210	        8.871e-01
4.212	        8.877e-01
4.213	        8.883e-01
4.214	        8.888e-01
4.216	        8.893e-01
4.217	        8.897e-01
4.219	        8.900e-01
4.220	        8.903e-01
4.221	        8.905e-01
4.223	        8.907e-01
4.224	        8.908e-01
4.225	        8.908e-01
4.227	        8.907e-01
4.228	        8.905e-01
4.229	        8.903e-01
4.231	        8.901e-01
4.232	        8.897e-01
4.233	        8.893e-01
4.235	        8.889e-01
4.236	        8.884e-01
4.237	        8.878e-01
4.239	        8.873e-01
4.240	        8.867e-01
4.242	        8.861e-01
4.243	        8.855e-01
4.244	        8.849e-01
4.246	        8.842e-01
4.247	        8.835e-01
4.248	        8.828e-01
4.250	        8.820e-01
4.251	        8.812e-01
4.252	        8.802e-01
4.254	        8.792e-01
4.255	        8.781e-01
4.256	        8.768e-01
4.258	        8.753e-01
4.259	        8.737e-01
4.260	        8.718e-01
4.262	        8.696e-01
4.263	        8.669e-01
4.264	        8.638e-01
4.266	        8.600e-01
4.267	        8.557e-01
4.269	        8.508e-01
4.270	        8.459e-01
4.271	        8.413e-01
4.273	        8.376e-01
4.274	        8.354e-01
4.275	        8.350e-01
4.277	        8.362e-01
4.278	        8.388e-01
4.279	        8.427e-01
4.281	        8.473e-01
4.282	        8.523e-01
4.283	        8.573e-01
4.285	        8.616e-01
4.286	        8.649e-01
4.287	        8.669e-01
4.289	        8.679e-01
4.290	        8.682e-01
4.292	        8.681e-01
4.293	        8.679e-01
4.294	        8.676e-01
4.296	        8.674e-01
4.297	        8.671e-01
4.298	        8.669e-01
4.300	        8.667e-01
4.301	        8.665e-01
4.302	        8.664e-01
4.304	        8.663e-01
4.305	        8.662e-01
4.306	        8.662e-01
4.308	        8.662e-01
4.309	        8.662e-01
4.310	        8.663e-01
4.312	        8.663e-01
4.313	        8.665e-01
4.314	        8.666e-01
4.316	        8.667e-01
4.317	        8.669e-01
4.319	        8.670e-01
4.320	        8.671e-01
4.321	        8.672e-01
4.323	        8.672e-01
4.324	        8.673e-01
4.325	        8.672e-01
4.327	        8.671e-01
4.328	        8.670e-01
4.329	        8.667e-01
4.331	        8.664e-01
4.332	        8.661e-01
4.333	        8.656e-01
4.335	        8.651e-01
4.336	        8.645e-01
4.337	        8.638e-01
4.339	        8.631e-01
4.340	        8.622e-01
4.342	        8.614e-01
4.343	        8.604e-01
4.344	        8.594e-01
4.346	        8.584e-01
4.347	        8.574e-01
4.348	        8.563e-01
4.350	        8.552e-01
4.351	        8.540e-01
4.352	        8.529e-01
4.354	        8.517e-01
4.355	        8.504e-01
4.356	        8.491e-01
4.358	        8.476e-01
4.359	        8.458e-01
4.360	        8.438e-01
4.362	        8.414e-01
4.363	        8.385e-01
4.364	        8.351e-01
4.366	        8.308e-01
4.367	        8.257e-01
4.369	        8.196e-01
4.370	        8.123e-01
4.371	        8.037e-01
4.373	        7.936e-01
4.374	        7.819e-01
4.375	        7.686e-01
4.377	        7.534e-01
4.378	        7.364e-01
4.379	        7.175e-01
4.381	        6.967e-01
4.382	        6.739e-01
4.383	        6.493e-01
4.385	        6.230e-01
4.386	        5.951e-01
4.387	        5.656e-01
4.389	        5.351e-01
4.390	        5.036e-01
4.392	        4.715e-01
4.393	        4.390e-01
4.394	        4.066e-01
4.396	        3.746e-01
4.397	        3.432e-01
4.398	        3.127e-01
4.400	        2.836e-01
4.401	        2.560e-01
4.402	        2.299e-01
4.404	        2.057e-01
4.405	        1.834e-01
4.406	        1.630e-01
4.408	        1.444e-01
4.409	        1.277e-01
4.410	        1.127e-01
4.412	        9.934e-02
4.413	        8.748e-02
4.414	        7.702e-02
4.416	        6.780e-02
4.417	        5.971e-02
4.419	        5.261e-02
4.420	        4.639e-02
4.421	        4.096e-02
4.423	        3.620e-02
4.424	        3.203e-02
4.425	        2.839e-02
4.427	        2.520e-02
4.428	        2.240e-02
4.429	        1.994e-02
4.431	        1.777e-02
4.432	        1.587e-02
4.433	        1.419e-02
4.435	        1.271e-02
4.436	        1.140e-02
4.437	        1.024e-02
4.439	        9.218e-03
4.440	        8.307e-03
4.441	        7.498e-03
4.443	        6.777e-03
4.444	        6.134e-03
4.446	        5.559e-03
4.447	        5.042e-03
4.448	        4.578e-03
4.450	        0.000
