# wave flux fluxerr
3.000000000000000000e+03 1.093260655088280773e-14 1.250426308430417815e-15
3.010000000000000000e+03 1.342797060155329734e-14 1.306661694472589989e-15
3.020000000000000000e+03 1.112443105885883520e-14 1.348923470511236498e-15
3.030000000000000000e+03 1.454348662326869624e-14 1.374466980476627766e-15
3.040000000000000000e+03 1.236287623155605666e-14 1.385181152610841019e-15
3.050000000000000000e+03 1.597829803420650659e-14 1.387588499467763244e-15
3.060000000000000000e+03 1.337778313844877331e-14 1.388412993788750097e-15
3.070000000000000000e+03 1.363784797016784445e-14 1.394378608315160782e-15
3.080000000000000000e+03 1.400372203722568104e-14 1.412209315788350168e-15
3.090000000000000000e+03 1.455960085498613814e-14 1.447919241643274778e-15
3.100000000000000000e+03 1.269060238214616347e-14 1.504683122089276668e-15
3.110000000000000000e+03 1.678802893570370432e-14 1.584965846029299551e-15
3.120000000000000000e+03 1.794351789137730038e-14 1.691232302366290099e-15
3.130000000000000000e+03 2.087296399998729612e-14 1.825947380003180389e-15
3.140000000000000000e+03 1.904453334582060826e-14 1.991284414884854194e-15
3.150000000000000000e+03 2.359953215704485834e-14 2.182711024920776410e-15
3.160000000000000000e+03 2.567724796431202814e-14 2.388989109984997006e-15
3.170000000000000000e+03 2.552066189205818276e-14 2.598589016993502061e-15
3.180000000000000000e+03 2.680828080564182127e-14 2.799981092862289886e-15
3.190000000000000000e+03 2.695361443889183085e-14 2.981635684507326050e-15
3.200000000000000000e+03 3.190588496273256603e-14 3.133168926489801473e-15
3.210000000000000000e+03 3.005682330061234634e-14 3.248780103951666462e-15
3.220000000000000000e+03 3.391761847227029454e-14 3.323814289680067484e-15
3.230000000000000000e+03 3.658643814457581539e-14 3.353616556462148245e-15
3.240000000000000000e+03 3.756982972292109217e-14 3.333531977085050874e-15
3.250000000000000000e+03 3.619971816633762015e-14 3.259453371137000927e-15
3.260000000000000000e+03 2.826001320949835712e-14 3.139871734631054056e-15
3.270000000000000000e+03 2.638681254300432751e-14 2.995876240005093248e-15
3.280000000000000000e+03 2.669489041364573577e-14 2.849103806498082944e-15
3.290000000000000000e+03 2.882030745874173726e-14 2.721191353348982855e-15
3.300000000000000000e+03 2.702401603081178441e-14 2.633775799796768467e-15
3.310000000000000000e+03 2.595071852731433965e-14 2.602776837212758626e-15
3.320000000000000000e+03 2.713947462688838545e-14 2.621245245497713460e-15
3.330000000000000000e+03 2.925576403112187419e-14 2.676514576684752628e-15
3.340000000000000000e+03 3.064323025144185464e-14 2.755918382807004073e-15
3.350000000000000000e+03 2.956332236673025566e-14 2.846790215897579170e-15
3.360000000000000000e+03 3.135741293303623287e-14 2.936855134849039483e-15
3.370000000000000000e+03 2.460720098009815737e-14 3.022842856320956566e-15
3.380000000000000000e+03 3.149141659142896697e-14 3.110487754739928527e-15
3.390000000000000000e+03 3.243909881049375269e-14 3.205915711391979995e-15
3.400000000000000000e+03 3.433318708221660863e-14 3.315252607563147433e-15
3.410000000000000000e+03 3.320441899351789785e-14 3.444624324539446794e-15
3.420000000000000000e+03 3.244482921751628410e-14 3.596008583799671702e-15
3.430000000000000000e+03 3.870952792617011944e-14 3.754790467593629048e-15
3.440000000000000000e+03 4.024089323752848381e-14 3.902206898363888011e-15
3.450000000000000000e+03 3.956690409822158658e-14 4.019494798553011459e-15
3.460000000000000000e+03 5.026382320014109701e-14 4.087891090603570150e-15
3.470000000000000000e+03 3.812992445718583824e-14 4.089381658695132453e-15
3.480000000000000000e+03 4.506348873901885183e-14 4.023178506958551810e-15
3.490000000000000000e+03 4.324265169645959185e-14 3.905719759475941491e-15
3.500000000000000000e+03 3.501596432438188837e-14 3.754192502066422634e-15
3.510000000000000000e+03 4.219873537424047279e-14 3.585783820549120321e-15
3.520000000000000000e+03 3.917668380416698490e-14 3.417680800743170678e-15
3.530000000000000000e+03 2.867716367236208155e-14 3.264326686614127879e-15
3.540000000000000000e+03 3.532675336308905642e-14 3.129189354713285732e-15
3.550000000000000000e+03 3.088149303019524728e-14 3.012992839738377789e-15
3.560000000000000000e+03 2.329243027103104166e-14 2.916461176387130500e-15
3.570000000000000000e+03 2.884927320072741467e-14 2.840318399357269528e-15
3.580000000000000000e+03 2.793117477247279077e-14 2.785295985166163345e-15
3.590000000000000000e+03 2.794413444023401000e-14 2.752296572182636525e-15
3.600000000000000000e+03 2.691878933073082190e-14 2.742393960626988279e-15
3.610000000000000000e+03 2.528066267525698760e-14 2.756669392539145246e-15
3.620000000000000000e+03 2.731779897936721608e-14 2.796204109959040772e-15
3.630000000000000000e+03 2.863305363563268246e-14 2.862079354926595579e-15
3.640000000000000000e+03 3.077056338771732584e-14 2.953942894473055810e-15
3.650000000000000000e+03 2.690803426043529301e-14 3.065708595594897492e-15
3.660000000000000000e+03 3.334977838624617859e-14 3.189856850279911815e-15
3.670000000000000000e+03 3.242673944847878482e-14 3.318868050515890365e-15
3.680000000000000000e+03 3.482667779674707855e-14 3.445222588290627094e-15
3.690000000000000000e+03 3.532400262442902171e-14 3.561592661341347402e-15
3.700000000000000000e+03 3.687010808297600403e-14 3.665061999642463068e-15
3.710000000000000000e+03 3.831584203486440057e-14 3.757125865405565550e-15
3.720000000000000000e+03 4.643153566382258834e-14 3.839471326591681302e-15
3.730000000000000000e+03 3.554226697588292679e-14 3.913785451161847822e-15
3.740000000000000000e+03 4.417127875591812404e-14 3.981755307077086044e-15
3.750000000000000000e+03 3.889771601158805554e-14 4.046025756132187342e-15
3.760000000000000000e+03 4.090638469281548110e-14 4.113072835456960182e-15
3.770000000000000000e+03 4.425691866442550490e-14 4.190330376014976371e-15
3.780000000000000000e+03 4.856236052483270826e-14 4.285232208769804564e-15
3.790000000000000000e+03 5.309623609558732810e-14 4.405212164685014202e-15
3.800000000000000000e+03 4.884088282403400633e-14 4.557388186894656163e-15
3.810000000000000000e+03 4.998609585636369459e-14 4.741612798454106004e-15
3.820000000000000000e+03 4.828109893251733694e-14 4.950473102340033986e-15
3.830000000000000000e+03 5.353638745482417816e-14 5.176240313699607582e-15
3.840000000000000000e+03 4.504989684232296897e-14 5.411185647680007676e-15
3.850000000000000000e+03 4.938173444705611176e-14 5.647580319428370186e-15
3.860000000000000000e+03 5.657956781253537773e-14 5.877638279071094301e-15
3.870000000000000000e+03 5.470618763564577143e-14 6.093344416651405877e-15
3.880000000000000000e+03 5.645247993230121635e-14 6.286626357191742763e-15
3.890000000000000000e+03 6.277704422323698405e-14 6.449411725714546754e-15
3.900000000000000000e+03 6.675784167714972071e-14 6.573628147242262010e-15
3.910000000000000000e+03 6.301454174371029119e-14 6.651715346484368001e-15
3.920000000000000000e+03 7.517643212015023058e-14 6.687891340952419036e-15
3.930000000000000000e+03 7.326581916697798742e-14 6.698152440960040312e-15
3.940000000000000000e+03 7.906982675364309121e-14 6.699007056507882873e-15
3.950000000000000000e+03 6.809024805507754537e-14 6.706963597596623795e-15
3.960000000000000000e+03 6.401948613356454452e-14 6.738530474226922011e-15
3.970000000000000000e+03 7.373378080863319856e-14 6.801961935843686185e-15
3.980000000000000000e+03 6.652696017903499884e-14 6.872495589668796311e-15
3.990000000000000000e+03 7.172856297471442131e-14 6.917114882368377383e-15
4.000000000000000000e+03 6.122867040543222967e-14 6.902803260608548084e-15
4.010000000000000000e+03 6.412621048996471532e-14 6.796544171055430252e-15
4.020000000000000000e+03 5.445778761510131871e-14 6.566865330150889572e-15
4.030000000000000000e+03 6.001126682042752198e-14 6.217812659178679313e-15
4.040000000000000000e+03 5.838885063817656661e-14 5.788950284264461628e-15
4.050000000000000000e+03 5.362410105198226350e-14 5.321386601309628316e-15
4.060000000000000000e+03 4.654138655322174675e-14 4.856230006215553033e-15
4.070000000000000000e+03 3.443429080768945198e-14 4.434588894883674122e-15
4.080000000000000000e+03 3.960087455980115349e-14 4.089123377827442214e-15
4.090000000000000000e+03 4.164371726586521501e-14 3.818700424008633994e-15
4.100000000000000000e+03 3.360884022109927965e-14 3.613738717001103913e-15
4.110000000000000000e+03 3.036032071447209363e-14 3.464656940378707997e-15
4.120000000000000000e+03 3.486152651778569794e-14 3.361873777715297938e-15
4.130000000000000000e+03 3.120782415847699435e-14 3.296225056366372191e-15
4.140000000000000000e+03 3.933032878322091482e-14 3.268140910664987384e-15
4.150000000000000000e+03 3.745494624084400547e-14 3.287645781921781578e-15
4.160000000000000000e+03 3.525718893409744363e-14 3.365181255229023831e-15
4.170000000000000000e+03 3.555580330033018901e-14 3.511188915678998973e-15
4.180000000000000000e+03 3.488036278383284138e-14 3.736110348363960678e-15
4.190000000000000000e+03 4.466185657750724940e-14 4.046471449757065743e-15
4.200000000000000000e+03 4.552366913322664797e-14 4.433135361854968687e-15
4.210000000000000000e+03 4.672221997907329330e-14 4.883049538035207435e-15
4.220000000000000000e+03 5.838094337636791103e-14 5.383161431675319909e-15
4.230000000000000000e+03 4.906442130213505243e-14 5.920418496152869276e-15
4.240000000000000000e+03 6.047066032230401767e-14 6.481451532899241475e-15
4.250000000000000000e+03 7.482776947578398571e-14 7.045608348585698633e-15
4.260000000000000000e+03 6.892863917372104422e-14 7.584953755123274934e-15
4.270000000000000000e+03 9.276475802453220059e-14 8.071235912476902278e-15
4.280000000000000000e+03 8.348738621037448317e-14 8.476202980611540173e-15
4.290000000000000000e+03 7.531991009229507721e-14 8.771603119492076342e-15
4.300000000000000000e+03 9.430966404836808015e-14 8.936674536368171260e-15
4.310000000000000000e+03 1.108263055435418455e-13 8.980615627628215117e-15
4.320000000000000000e+03 9.310753882448541746e-14 8.920114836945306167e-15
4.330000000000000000e+03 9.028303827157646453e-14 8.771860607992536353e-15
4.340000000000000000e+03 8.205735241406009161e-14 8.552541384442981843e-15
4.350000000000000000e+03 9.270012476691005077e-14 8.279231044995914532e-15
4.360000000000000000e+03 8.096528058259923552e-14 7.977868473952317660e-15
4.370000000000000000e+03 8.872500796513460139e-14 7.683257561214900009e-15
4.380000000000000000e+03 8.086019006907965272e-14 7.430587631712525070e-15
4.390000000000000000e+03 6.461011638281760590e-14 7.255048010374075266e-15
4.400000000000000000e+03 6.975695529254285356e-14 7.191828022128440909e-15
4.410000000000000000e+03 7.031096078451917547e-14 7.263349319058201157e-15
4.420000000000000000e+03 8.364689762708149913e-14 7.440962861860856217e-15
4.430000000000000000e+03 7.705781750651472293e-14 7.683251938387626692e-15
4.440000000000000000e+03 7.476909302362937441e-14 7.948799836489737922e-15
4.450000000000000000e+03 7.011401140190238631e-14 8.196189844018418401e-15
4.460000000000000000e+03 9.759471547792812980e-14 8.385058048747165205e-15
4.470000000000000000e+03 9.197004175909095804e-14 8.499254936662588360e-15
4.480000000000000000e+03 8.805160915864362147e-14 8.546845391964333541e-15
